,id,creator,name,unit,resource_id,archive_policy,created_by_user_id,created_by_project_id
1646,844996ee-bac7-4bee-b09f-91a27789f1be,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.incoming.bytes,B,155f4071-db46-53ab-8d81-57fdd6f2690e,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1647,846e2112-3503-4973-ad0c-78a2bb1add15,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.device.write.requests,request,fc373cc5-9b10-5c35-bc0d-bf77ffa7ba13,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1648,847c9e1b-e33c-4144-9906-0b850d87c08e,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.device.read.bytes,B,5e09612e-ed3f-5785-8ce9-c43bbadfbd3e,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1649,84839b40-b5ec-41d6-965b-6a3ffba86078,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,image.serve,B,67bfa9b1-b534-40d8-9729-664ac93ff4ee,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1650,849eeb42-7c4c-496d-b8fb-89e5a7a19435,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.incoming.packets,packet,04d9fa8e-2785-5c11-b2d4-630c9a29ab2b,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1651,84c63489-e16e-4bb4-885a-8814788ad8f1,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.root.size,GB,7ac6342d-3384-4e53-8937-518790b0e5d1,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1652,84dfcf62-b433-4a1e-af1a-43fffd604514,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.ephemeral.size,GB,1640c64a-915b-4278-ba2e-c2d675465e47,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1653,84e39823-2577-4a75-a1ab-d73a87175877,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.ephemeral.size,GB,58b1f58f-0545-409e-a166-837db51c2e18,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1654,84e6a25f-55ae-4c1b-a315-7855351e886b,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.incoming.bytes,B,d4c23784-5137-53d5-b802-58fa061408ae,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1655,84f6bfe9-9cfe-4ad0-8d56-d561f4f11ac5,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.device.read.requests,request,131a1761-e766-5cf7-b1cf-2bd4b4f0dfc0,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1656,84fc4a6f-1477-486d-8e40-6f8bcbed0e78,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.ephemeral.size,GB,f0bb72ac-f9b1-4232-8715-3e5494dbb964,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1657,850cbe52-71ed-4d3a-abb9-75682d55076f,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,memory.usage,MB,a01a4870-8c63-414c-94d0-35e7a7e48e6c,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1658,851074c5-cadf-475a-a54e-1ca03f0200e2,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,compute.instance.booting.time,sec,3aa59778-dbcc-44ee-8512-4d1bc5e074b7,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
